jockey_name,quadrant_code,quadrant_label,ride_count,forward_axis_score,push_axis_score,comment
和田竜二,Q1,折り合いタイプ,15283,0.3335034772301679,-0.38847331807557817,前めの位置取り傾向があり、動きは穏やかに出ているデータ傾向です。
松山弘平,Q1,折り合いタイプ,12709,0.06604923051348856,-0.4919258489881632,前めの位置取り傾向があり、動きは穏やかに出ているデータ傾向です。
丹内祐次,Q1,折り合いタイプ,10292,0.04530514805236523,-0.24744173358338445,前めの位置取り傾向があり、動きは穏やかに出ているデータ傾向です。
津村明秀,Q1,折り合いタイプ,9791,0.04159944887995973,-0.14725981614357364,前めの位置取り傾向があり、動きは穏やかに出ているデータ傾向です。
池添謙一,Q1,折り合いタイプ,9564,0.08270465585119569,-0.14218823237124634,前めの位置取り傾向があり、動きは穏やかに出ているデータ傾向です。
宮下瞳,Q1,折り合いタイプ,136,2.1023629743660774,-0.8121010393286229,前めの位置取り傾向があり、動きは穏やかに出ているデータ傾向です。
小山信行,Q1,折り合いタイプ,51,2.10357898973196,-0.45053416938127444,前めの位置取り傾向があり、動きは穏やかに出ているデータ傾向です。
丹羽克輝,Q1,折り合いタイプ,83,1.7827802989030899,-0.24224945999132827,前めの位置取り傾向があり、動きは穏やかに出ているデータ傾向です。
中舘英二,Q1,折り合いタイプ,4628,0.8239194675705132,-1.1947230089667706,前めの位置取り傾向があり、動きは穏やかに出ているデータ傾向です。
堀場裕充,Q1,折り合いタイプ,65,1.8765398690548283,-0.10244324861553289,前めの位置取り傾向があり、動きは穏やかに出ているデータ傾向です。
三浦皇成,Q2,前め積極タイプ,11861,0.03286502362048323,0.08151079842452935,前めの位置取りと位置変化の目安がどちらも出やすいデータ傾向です。
福永祐一,Q2,前め積極タイプ,11679,0.27367168666653907,0.28963453354230423,前めの位置取りと位置変化の目安がどちらも出やすいデータ傾向です。
武豊,Q2,前め積極タイプ,11572,0.1676646243633012,0.45175322542532903,前めの位置取りと位置変化の目安がどちらも出やすいデータ傾向です。
戸崎圭太,Q2,前め積極タイプ,11465,0.11976539695251286,0.3752611259940024,前めの位置取りと位置変化の目安がどちらも出やすいデータ傾向です。
川田将雅,Q2,前め積極タイプ,11298,0.5845193351857069,0.2632328969819226,前めの位置取りと位置変化の目安がどちらも出やすいデータ傾向です。
栗原大河,Q2,前め積極タイプ,75,1.8648863527233956,2.103275985093574,前めの位置取りと位置変化の目安がどちらも出やすいデータ傾向です。
